"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"1","Washington","None, Federalist","President","George Washington","Washington","1789-04-30","1797-03-03","","","","College of William and Mary","","","","","","lt. gen. & cmdr.","Revolutionary War","Army","1","0","0","0","eo","eo","Received his license through the college, no evidence he attended classes there.","","","","","","","","","",""
"2","Washington","None, Federalist","Vice President","John Adams","Adams","1789-04-30","1797-03-03","","","","Harvard University (BA)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"3","Washington","None, Federalist","Secretary of State","John Jay","Jay","1789-04-30","1789-09-26","","","","Columbia University (BA, MA)","1","1","","1","","","","","1","0","0","0","nr","nr","Secretary of Foreign Affairs under the Articles of Confederation, served unofficially as Secretary of State until superceded by Thomas Jefferson.","","","","","","","","","",""
"4","Washington","None, Federalist","Secretary of State","Thomas Jefferson","Jefferson","1789-09-26","1794-12-02","","","","College of William and Mary (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"5","Washington","None, Federalist","Secretary of State","Edmund Randolph","Randolph","1794-12-02","1795-08-20","","","","College of William and Mary (grad.)","1","","","","","ADC","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"6","Washington","None, Federalist","Secretary of State","Timothy Pickering","Pickering","1795-12-10","1800-05-12","","","","Harvard University (grad.)","1","","","1","","quartermaster gen.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"7","Washington","None, Federalist","Secretary of the Treasury","Alexander Hamilton","Hamilton","1789-09-11","1795-02-02","","","","Columbia University","","","","","","capt.","Revolutionary War","Army","1","1","0","0","nr","nr","","","","","","","","","","",""
"8","Washington","None, Federalist","Secretary of the Treasury","Oliver Wolcott Jr.","Wolcott","1795-02-02","1801-01-01","","","","Yale University (BA); Litchfield Law School","1","","","1","","ADC","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"9","Washington","None, Federalist","Secretary of War","Henry Knox","Knox","1789-09-12","1795-01-02","","","","no college","","","","","","maj. gen.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"10","Washington","None, Federalist","Secretary of War","Timothy Pickering","Pickering","1795-01-02","1796-02-05","","","","Harvard University (grad.)","1","","","1","","quartermaster gen.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"11","Washington","None, Federalist","Secretary of War","James McHenry","McHenry","1796-02-06","1797-03-03","","","","Newark Academy","","","1","","","maj.","Revolutionary War","Army","1","1","0","0","nr","nr","","","","","","","","","","",""
"12","Washington","None, Federalist","Attorney General","Edmund Randolph","Randolph","1793-03-04","1794-01-27","","","","College of William and Mary (grad.)","1","","","1","","ADC","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"13","Washington","None, Federalist","Attorney General","William Bradford","Bradford","1794-01-29","1795-12-10","","","","Princeton University (grad.)","1","","","1","","col.","Revolutionary War","Army","1","0","0","1","nr","nr","","","","","","","","","","",""
"14","Washington","None, Federalist","Attorney General","Charles Lee","Lee","1795-12-10","1797-03-03","","","","Princeton University (AB)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"15","Washington","None, Federalist","Postmaster General","Samuel Osgood","Osgood","1789-09-26","1791-09-12","","","","Harvard University (grad.)","1","","","","","col.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"16","Washington","None, Federalist","Postmaster General","Timothy Pickering","Pickering","1791-08-19","1795-02-25","","","","Harvard University (grad.)","1","","","1","","quartermaster gen.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"17","Washington","None, Federalist","Postmaster General","Joseph Habersham","Habersham","1795-02-25","1797-03-03","","","","Princeton University (grad.)","1","","","1","","col.","Revolutionary War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"18","John Adams","Federalist","President","John Adams","Adams","1797-03-04","1801-03-03","","","","Harvard University (grad.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"19","John Adams","Federalist","Vice President","Thomas Jefferson","Jefferson","1797-03-04","1801-03-03","","","","College of William and Mary (grad.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"20","John Adams","Federalist","Secretary of State","Timothy Pickering","Pickering","1797-03-04","1800-05-12","","","","Harvard University (grad.)","1","","","1","","quartermaster gen.","Revolutionary War","Army","1","0","0","0","pa","pa","","","","","","","","","","",""
"21","John Adams","Federalist","Secretary of State","John Marshall","Marshall","1800-06-06","1801-02-04","","","","College of William and Mary","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
